,user,text,time,location,source,like_count,retweet_count
90,Hiya30801883,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:20:58+00:00,India,Twitter for Android,0,352
91,LRTendencias,"🎬 😕 Primero #Netflix y ahora #Disney: documental de #WillSmith suspendido tras agresión a #ChrisRock

Tras el incid… https://t.co/k0g3pg9Su1",2022-04-22 17:20:42+00:00,,Twitter Web App,1,1
92,justoalopez,"RT @FightersMagz: ☹️🔥 Jada Pinkett le da la espalda a su esposo, Will Smith.

Ella le fue infiel con un amigo de su hijo. Él la perdonó y c…",2022-04-22 17:20:01+00:00,Venezuela  .28 Diciembre,Twitter for iPhone,0,53
93,Joaquin_N6,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:18:42+00:00,🇳🇮-🇭🇳,Twitter for Android,0,39
94,SpeakMeow6,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:18:37+00:00,,Twitter for iPhone,0,39
95,rtItBot,RT @JroddyWilson: #WillSmith #rtItBot #100DaysOfCode https://t.co/XEzuT7bLja,2022-04-22 17:18:09+00:00,,rtItBot,0,1
96,VanElyo,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:18:07+00:00,La Laguna,Twitter for Android,0,39
97,Taurus89514630,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:18:03+00:00,,Twitter for Android,0,352
98,LSwagata,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:17:25+00:00,,Twitter for Android,0,352
99,ChangeMyJg,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:16:55+00:00,México,Twitter for Android,0,39
